recipe_name	ingredient_not_found	Error	item_link	weight	quantity	energy_gm	protein_gm	fat_gm	carbs_gm	total_dietary_fibre_gm	sugar_gm	sodium_mg	trans_fat_gm	total_saturated_fat_gm	cholesterol_mg	added_sugar_gm	0	0	0
sugarless chai,sugarless tea	SUCCESS	SUCCESS	http://www.geniuskitchen.com/recipe/indian-masala-chai-190932	100	0	23.09562931	0.382997042	0.395087085	4.630598094	0.001971738	3.937265856	140.9658232	0.026289846	0.249953664	1.577390733	0			
tea with milk and sugar	SUCCESS	SUCCESS	0	100	0	23.26190476	0.69047619	0.714285714	3.594761905	0	2.376190476	252.4047619	0.047619048	0.452380952	2.857142857	0			
lemon chai	SUCCESS	SUCCESS	https://blendwithspices.com/lemon-tea/	100	0	25.95652174	0.011413043	0.007826087	6.745434783	0.009782609	6.590869565	3.576086957	0	0.001304348	0	0			
lemon corriander soup	SUCCESS	SUCCESS	https://www.tarladalal.com/Lemon-and-Coriander-Soup-(-Vitamin-C-Rich)-4622r	100	0	27.26493663	0.41992758	1.307543754	3.633144237	0.653711527	1.175980688	296.4779722	0.021243211	0.068236572	0	0			
jaggery chai	SUCCESS	SUCCESS	http://www.creativesaga.com/how-to-make-tea-with-jaggery-gud-ki-chai-hot-beverages-recipes	100	0	27.6625387	0.484396285	0.476006192	5.36628483	0.018575851	0.015789474	169.25387	0.030959752	0.296003096	1.857585139	0			
peppery lemon soup,kali mirch soup,nimbu and kali mirch soup	SUCCESS	SUCCESS	http://www.sanjeevkapoor.com/Recipe/Lemon-Pepper-Soup.html	100	0	29.00300429	0.669806867	0.583914163	5.774386266	1.426523605	1.751467811	470.6645494	0.007553648	0.050916309	0	0			
coffee with skimmed milk without sugar	SUCCESS	SUCCESS	0	100	0	29.82926829	2.126829268	0.085365854	5.204878049	0	0	1.87804878	0	0.004804878	0	0			
coffee with skimmed milk with artificial sweetener	SUCCESS	SUCCESS	0	100	0	29.82926829	2.126829268	0.085365854	5.204878049	0	0	1.87804878	0	0.004804878	0	0			
cold coffee with toned milk without sugar	SUCCESS	SUCCESS	0	100	0	29.82926829	2.126829268	0.085365854	5.204878049	0	0	1.87804878	0	0.004804878	0	0			
fresh musambi juice without sugar	SUCCESS	SUCCESS	0	100	0	30.71428571	0.571428571	0.214285714	6.642857143	0	0	1.142857143	0	0	0	0			
bean sprout salad with peanut dressing	SUCCESS	SUCCESS	https://www.tarladalal.com/Bean-Sprouts-Salad-in-A-Peanut-Chilli-Dressing-452r	100	0	31.00077025	0.981165883	0.299932389	6.020318015	2.099806626	4.200139582	4.091006853	0	0.026011489	0	0			
papaya smoothie without sugar	SUCCESS	SUCCESS	https://www.foodnetwork.com/recipes/bobby-flay/papaya-banana-smoothie-recipe-1948862	100	0	32.00088763	0.600042911	0.100032039	7.200092997	2.599937685	8.25923E-06	6.009963736	1.99521E-06	2.0488E-05	0.00012064	0			
apple rabdi	SUCCESS	SUCCESS	https://www.tarladalal.com/Apple-Rabadi-Diabetic-Friendly-3476r	100	0	32.63448276	2.112137931	0.110896552	6.098827586	0.397241379	1.725310345	0.165517241	0	0.004634483	0	0			
cutting chai	SUCCESS	SUCCESS	http://www.vegrecipesofindia.com/cutting-chai-recipe/	100	0	33.20582878	0.558069217	0.558743169	6.683661202	0.032786885	5.481420765	194.0746812	0.036429872	0.349411658	2.18579235	0			
fresh pineapple juice without sugar	SUCCESS	SUCCESS	0	100	0	33.33333333	0.36	0.08	8.746666667	0.933333333	6.566666667	2	0	0	0.006	0			
imam bayildi,stuffed eggplant	SUCCESS	SUCCESS	http://www.geniuskitchen.com/recipe/imam-bayildi-a-stuffed-eggplant-recipe-from-asia-minor-84776	100	0	33.77814133	1.290874092	0.237934815	7.110607232	3.204874007	1.631559937	276.7823482	0.199657502	4.500211108	0	0			
fresh apple juice without sugar	SUCCESS	SUCCESS	0	100	0	34.66666667	0.173333333	0.113333333	9.206666667	1.6	6.926666667	2	0	0.018666667	0	0			
almond lemon mint	SUCCESS	SUCCESS	http://www.delicooks.com/en/recipes/special-diets/vegan/almond-milk-with-lemon-and-mint/	100	0	35.68817204	1.219892473	1.110752688	5.831182796	1.039784946	3.225806452	57.25806452	0	0	0	0			
spicy mint chutney	SUCCESS	SUCCESS	https://www.tarladalal.com/Teekha-Pudina-Chutney--Spicy-Phudina-Chutney-33402r	100	0	36.87667888	3.046275946	0.750671551	5.680830281	4.036996337	0.822771673	738.9487179	0	0.033052503	0	0			
