recipe_name,weight,energy_gm,protein_gm,fat_gm,carbs_gm,total_dietary_fibre_gm,sugar_gm,sodium_mg,trans_fat_gm,total_saturated_fat_gm,cholesterol_mg,added_sugar_gm,clusterID,energy_gm_tag,protein_gm_tag,fat_gm_tag,carbs_gm_tag,total_dietary_fibre_gm_tag,sugar_gm_tag,sodium_mg_tag,trans_fat_gm_tag,total_saturated_fat_gm_tag,cholesterol_mg_tag,added_sugar_gm_tag
pepper jeera rasam,100,169.9161148,1.316585725,16.80500368,4.85727741,1.366004415,1.6085356880000001,1437.18028,0.640618102,8.630703458,0.0,0.0,16,,LOW,,LOW,LOW,,,HIGH,,HIGH,HIGH
fish tikka masala gravy,100,18.01162453,0.880063185,0.201140116,3.890281292,1.200021708,2.6298708619999998,0.129006653,0.67796718,15.25042613,0.001405218,0.0,16,,LOW,,LOW,LOW,,,HIGH,,HIGH,HIGH
achari chicken,100,69.72384035,1.62407767,3.9998273999999996,7.172815534,1.4412081980000002,0.794390507,645.236246,0.261747573,5.191175836,1.4692556630000002,0.0,16,,LOW,,LOW,LOW,,,HIGH,,HIGH,HIGH
turkish watermelon and goat cheese salad,100,157.6698667,0.9383530059999999,14.57422504,7.283567553999999,0.9006949809999999,5.186067152,888.1184777000001,0.0,6.132568119,1.323772752,0.0,16,,LOW,,LOW,LOW,,,HIGH,,HIGH,HIGH
"doi ilish,hilsa with curd,hilsa with yogurt,ilish with doi,ilish with curd,doi hilsha,doi ilish bhapa",100,206.1960784,2.901960784,20.0,4.392156863,0.0,0.0,1578.745098,0.0,3.612156863,4.705882353,0.0,16,,LOW,,LOW,LOW,,,HIGH,,HIGH,HIGH
turkish shepherds salad,100,149.15238100000002,1.196238095,14.67183333,4.6725714289999996,2.2407142859999998,1.400285714,844.6309524000001,0.113,4.442266667,0.873809524,0.0,16,,LOW,,LOW,LOW,,,HIGH,,HIGH,HIGH
tomato chutney,100,94.66290868,1.513416009,7.028466742000001,7.1496054110000005,2.00800451,1.793517475,439.44193909999996,0.5474182639999999,9.952615558,0.0,0.0,16,,LOW,,LOW,LOW,,,HIGH,,HIGH,HIGH
"kasuri methi fish curry,kasuri methi maach,kasuri methi mach,methi maach",100,129.2745098,2.909803922,10.2745098,6.391764706,0.0,1.956862745,3098.686275,0.0,2.476862745,4.705882353,0.0,16,,LOW,,LOW,LOW,,,HIGH,,HIGH,HIGH
achari dahi bhindi,100,127.74240230000001,1.8021997109999999,11.43487699,5.868408103999999,2.052098408,1.271128799,295.46743849999996,0.294052098,3.126227207,0.868306802,0.0,16,,LOW,,LOW,LOW,,,HIGH,,HIGH,HIGH
baked tomato,100,127.67944250000001,4.853379791,9.718188153,6.278188152999999,1.774912892,2.119442509,386.8222997,0.651261324,14.86769338,11.98606272,0.0,16,,LOW,,LOW,LOW,,,HIGH,,HIGH,HIGH
"tamatar ki launji,tomato launji",100,111.5373134,0.7355223879999999,9.12238806,7.728059701,1.002985075,6.666865672,1157.0,0.724298507,13.16173134,0.0,0.0,16,,LOW,,LOW,LOW,,,HIGH,,HIGH,HIGH
"nepalese mutton curry,nepali mutton curry,nepali goat curry,khasi ko masu",100,77.36898396,0.9106951870000001,5.61372549,5.952228164,1.490196078,1.3126559709999999,1383.2317289999999,0.432513369,7.859500891000001,0.0,0.0,16,,LOW,,LOW,LOW,,,HIGH,,HIGH,HIGH
"tomato thokku,thakkali thokku",100,129.52475249999998,1.217029703,12.07524752,5.068910891,1.22970297,2.7021782180000002,384.5306931,0.772990099,13.23409901,0.0,0.0,16,,LOW,,LOW,LOW,,,HIGH,,HIGH,HIGH
oatmeal with milk,100,171.20779219999997,6.494155844,4.234285713999999,27.05064935,3.541558442,0.347142857,682.6233766,0.12987013,1.6229870130000001,7.792207792,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
date milkshake,100,167.0,2.515151515,1.9393939390000001,35.14969697,2.515151515,9.072727273,635.2424242000001,0.12121212099999999,1.151515152,7.272727272999999,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
mixed veg korma,100,160.3003901,7.01026694,4.558110883,23.29250513,7.553798767999999,1.336447639,508.3770021000001,0.07096509200000001,1.739137577,8.057494867,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
"vegetable haryali,veg hariyali",100,158.5476773,7.77797066,4.555012225,21.32234719,7.755867971,3.609535452,259.096577,0.0,1.1912799509999998,5.061124694,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
"exotic vegetables in chilli basil sauce,chilli basil veg stir-fry,veg stir-fry,vegetable stir-fry with chilli basil sauce",100,109.76039809999999,8.486731309,6.770206685,5.470757846000001,2.2273283999999998,2.226282215,1455.371932,0.053891299000000004,0.635855065,5.307476397,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
white bean curd soup,100,139.4292035,15.46637168,7.73539823,4.466150442,2.509292035,1.118362832,2618.014159,0.0,1.023893805,11.50442478,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
achari dip,100,97.34848485,9.045454545,3.2606060610000003,8.126363636,0.0,7.772727272999999,1205.439394,0.081212121,1.1883333329999999,3.6363636360000005,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
chiku milkshake,100,89.84126984,1.8306878309999999,2.052910053,16.51851852,4.613756614,3.571428571,558.8994709,0.105820106,1.005291005,6.349206349,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
"rajgira ki kadhi,amaranth ki kadhi",100,172.2098214,5.614866071000001,5.80859375,25.07301339,1.575892857,7.073883929,482.94419639999995,0.0,1.3406450890000001,4.0178571430000005,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
date milkshake without sugar,100,145.0,2.766666667,2.133333333,28.66666667,2.766666667,0.0,698.6666667000001,0.133333333,1.266666667,8.0,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
