recipe_name,ingredient_not_found,Error,item_link,weight,quantity,energy_gm,protein_gm,fat_gm,carbs_gm,total_dietary_fibre_gm,sugar_gm,sodium_mg,trans_fat_gm,total_saturated_fat_gm,cholesterol_mg,added_sugar_gm
peanut butter banana milkshake without sugar,SUCCESS,SUCCESS,,715.0,,647.15,16.2,9.149999999999999,125.44999999999999,7.95,1.2,199.8,0.0,0.0,0.0,0.0
almond milkshake,SUCCESS,SUCCESS,,668.5,,418.62,9.7515,11.620000000000001,67.21025,0.272,60.9208,355.52500000000003,0.0,0.00025,20.400000000000002,0.0
chocolate milkshake,SUCCESS,SUCCESS,https://www.tarladalal.com/Chocolate-Milkshake-Chocolate-Milkshake-Recipe-36033r,487.5,,947.375,17.855,45.275,117.1865,0.5625,36.44,3210.0,0.6000000000000001,7.6,36.0,0.0
chocolate milkshake without sugar,SUCCESS,SUCCESS,,457.5,,831.275,17.855,45.275,87.1925,0.5625,6.5,3209.7,0.6000000000000001,7.6,36.0,0.0
tea with milk and sugar,SUCCESS,SUCCESS,,210.0,,48.85,1.45,1.5,7.549,0.0,4.99,530.05,0.1,0.95,6.0,0.0
tea with skimmed milk and sugar,SUCCESS,SUCCESS,,210.0,,33.85,1.25,0.05,7.299,0.0,4.99,6.05,0.0,0.0,0.0,0.0
tea with milk without sugar,SUCCESS,SUCCESS,,205.0,,29.5,1.45,1.5,2.55,0.0,0.0,530.0,0.1,0.95,6.0,0.0
tea with skimmed milk without sugar,SUCCESS,SUCCESS,,205.0,,14.5,1.25,0.05,2.3,0.0,0.0,6.0,0.0,0.0,0.0,0.0
tea with milk with artificial sweetener,SUCCESS,SUCCESS,,205.0,,29.5,1.45,1.5,2.55,0.0,0.0,530.0,0.1,0.95,6.0,0.0
tea with skimmed milk with artificial sweetener,SUCCESS,SUCCESS,,205.0,,14.5,1.25,0.05,2.3,0.0,0.0,6.0,0.0,0.0,0.0,0.0
iced tea,SUCCESS,SUCCESS,,260.0,,325.02700421940926,0.0,0.0,81.92892827004219,0.0,79.28928270042194,0.6,0.0,0.0,0.0,0.0
green tea with sugar,SUCCESS,SUCCESS,,205.0,,19.35,0.0,0.0,4.9990000000000006,0.0,4.99,8.05,0.0,0.0,0.0,0.0
green tea with lemon and honey,SUCCESS,SUCCESS,,210.0,,16.3,0.0325,0.012,4.465,0.025,4.232000000000001,8.25,0.0,0.002,0.35000000000000003,0.0
lemon tea with sugar,SUCCESS,SUCCESS,,205.0,,19.35,0.0,0.0,4.9990000000000006,0.0,4.99,8.05,0.0,0.0,0.0,0.0
coffee with milk and sugar,SUCCESS,SUCCESS,,210.0,,125.5,4.96,4.525,16.419,0.0,4.99,1575.8999999999999,0.30000000000000004,2.85985,18.0,0.0
coffee with skimmed milk and sugar,SUCCESS,SUCCESS,,210.0,,80.5,4.36,0.17500000000000002,15.669,0.0,4.99,3.9,0.0,0.009850000000000001,0.0,0.0
coffee with milk without sugar,SUCCESS,SUCCESS,,205.0,,106.15,4.96,4.525,11.42,0.0,0.0,1575.85,0.30000000000000004,2.85985,18.0,0.0
coffee with skimmed milk without sugar,SUCCESS,SUCCESS,,205.0,,61.150000000000006,4.36,0.17500000000000002,10.67,0.0,0.0,3.85,0.0,0.009850000000000001,0.0,0.0
coffee with milk with artificial sweetener,SUCCESS,SUCCESS,,205.0,,106.15,4.96,4.525,11.42,0.0,0.0,1575.85,0.30000000000000004,2.85985,18.0,0.0
coffee with skimmed milk with artificial sweetener,SUCCESS,SUCCESS,,205.0,,61.150000000000006,4.36,0.17500000000000002,10.67,0.0,0.0,3.85,0.0,0.009850000000000001,0.0,0.0
cold coffee with ice cream,SUCCESS,SUCCESS,https://www.tarladalal.com/Cold-Coffee-with-Ice--Cream-36032r,556.25,,611.8625,17.9725,16.55625,98.8735,0.2,67.69,4196.6125,0.8,7.6221625,63.0,0.0
cold coffee with toned milk without sugar,SUCCESS,SUCCESS,,205.0,,61.150000000000006,4.36,0.17500000000000002,10.67,0.0,0.0,3.85,0.0,0.009850000000000001,0.0,0.0
lime juice salted,SUCCESS,SUCCESS,,212.5,,2.2,0.034999999999999996,0.024,0.6900000000000001,0.03,0.252,977.0500000000001,0.0,0.004,0.0,0.0
lime juice sweet,SUCCESS,SUCCESS,,215.0,,21.55,0.034999999999999996,0.024,5.689000000000001,0.03,5.242,8.15,0.0,0.004,0.0,0.0
lime soda salted,SUCCESS,SUCCESS,,215.0,,2.2,0.034999999999999996,0.024,0.6900000000000001,0.03,0.252,1980.0,0.0,0.004,0.0,0.0
lime soda sweet,SUCCESS,SUCCESS,,215.0,,21.55,0.034999999999999996,0.024,5.689000000000001,0.03,5.242,42.15,0.0,0.004,0.0,0.0
fresh apple juice,SUCCESS,SUCCESS,,315.0,,162.05,0.52,0.34,42.617000000000004,4.8,35.75,6.15,0.0,0.056,0.0,0.0
fresh apple juice without sugar,SUCCESS,SUCCESS,,300.0,,104.0,0.52,0.34,27.62,4.8,20.78,6.0,0.0,0.056,0.0,0.0
fresh grape juice,SUCCESS,SUCCESS,,365.0,,235.55,1.25,0.75,56.247,3.0,14.969999999999999,4.15,0.0,0.0,0.0,0.0
fresh grape juice without sugar,SUCCESS,SUCCESS,,350.0,,177.5,1.25,0.75,41.25,3.0,0.0,4.0,0.0,0.0,0.0,0.0
fresh orange juice with sugar,SUCCESS,SUCCESS,,365.0,,1019.5884615384614,0.0,0.0,14.997,0.0,14.969999999999999,4.15,0.0,0.0,0.0,0.0
fresh orange juice without sugar,SUCCESS,SUCCESS,,350.0,,961.5384615384614,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
fresh musambi juice,SUCCESS,SUCCESS,,365.0,,165.55,2.0,0.75,38.247,0.0,14.969999999999999,4.15,0.0,0.0,0.0,0.0
fresh musambi juice without sugar,SUCCESS,SUCCESS,,350.0,,107.5,2.0,0.75,23.25,0.0,0.0,4.0,0.0,0.0,0.0,0.0
fresh pineapple juice,SUCCESS,SUCCESS,,315.0,,158.05,1.08,0.24,41.236999999999995,2.8,34.67,6.15,0.0,0.0,0.018,0.0
fresh pineapple juice without sugar,SUCCESS,SUCCESS,,300.0,,100.0,1.08,0.24,26.24,2.8,19.7,6.0,0.0,0.0,0.018,0.0
fresh mango juice,SUCCESS,SUCCESS,,365.0,,243.05,1.5,1.0,57.247,5.0,14.969999999999999,69.15,0.0,0.0,0.0,0.0
fresh mango juice without sugar,SUCCESS,SUCCESS,,350.0,,185.0,1.5,1.0,42.25,5.0,0.0,69.0,0.0,0.0,0.0,0.0
fresh watermelon juice,SUCCESS,SUCCESS,,190.0,,95.55,0.7625,0.1875,24.4345,0.5,22.72,529.65,0.0,7.3625,0.0,0.0
fresh watermelon juice without sugar,SUCCESS,SUCCESS,,175.0,,37.5,0.7625,0.1875,9.4375,0.5,7.75,529.5,0.0,7.3625,0.0,0.0
banana oat smoothie without sugar,SUCCESS,SUCCESS,https://www.tarladalal.com/Banana-Oats-Smoothie-(-Burgers-and-Smoothie-Recipe)-36265r,860.0,,1748.4,54.827000000000005,38.808,302.084,42.15,28.070999999999998,255.39999999999998,0.0,8.428,14.1,0.0
green smoothie without sugar,SUCCESS,SUCCESS,https://www.katheats.com/a-green-start,8620869.0,,10000549.99230769,103493.6338846154,25885.259384615383,2344872.350461538,155192.06038461538,1.7174999999999998,3157022.869230769,0.30000000000000004,5.064,18.0,0.0
papaya smoothie without sugar,SUCCESS,SUCCESS,https://www.foodnetwork.com/recipes/bobby-flay/papaya-banana-smoothie-recipe-1948862,21551655.0,,6896720.9,129319.178,21558.56,1551739.2025,560329.6,1.78,1295254.65,0.43000000000000005,4.4155,26.0,0.0
strawberry milkshake,SUCCESS,SUCCESS,https://www.tarladalal.com/Strawberry-Milkshake-Fresh-Strawberry-Milkshake-41368r,687.5,,461.125,13.275,12.75,77.0925,5.0,49.65,5182.375,0.8325,9.165,315.5,0.0
strawberry milkshake without sugar,SUCCESS,SUCCESS,,650.0,,316.0,13.275,12.75,39.599999999999994,5.0,12.225,5182.0,0.8325,9.165,315.5,0.0
date milkshake,SUCCESS,SUCCESS,,330.0,,551.1,8.3,6.4,115.994,8.3,29.939999999999998,2096.3,0.4,3.8,24.0,0.0
date milkshake without sugar,SUCCESS,SUCCESS,,300.0,,435.0,8.3,6.4,86.0,8.3,0.0,2096.0,0.4,3.8,24.0,0.0
vanilla milkshake,SUCCESS,SUCCESS,https://www.tarladalal.com/Vanilla-Milkshake-40533r,696.25,,767.25,23.05075,22.5,118.099125,0.4,90.47,4716.5625,0.9,8.550125,84.0,0.0
lukewarm lemon water,SUCCESS,SUCCESS,,2587323.0,,336311.04000000004,10346.624000000002,2587.9380000000006,64675.373999999996,67239.30900000001,0.0,263824.24,0.0,0.0,0.0,0.0
lukewarm cinnamon water,SUCCESS,SUCCESS,,205.0,,12.350000000000001,0.1995,0.062,4.0295000000000005,2.6550000000000002,0.1085,8.5,0.0,0.017249999999999998,0.0,0.0
,,Ingredent does not exist in the db
lukewarm water with methi seeds,SUCCESS,SUCCESS,,215.0,,48.449999999999996,3.4499999999999997,0.9615,8.7525,3.69,0.0,18.049999999999997,0.0,0.219,0.0,0.0
lukewarm water with coriander seeds,SUCCESS,SUCCESS,,215.0,,44.699999999999996,1.8554999999999997,2.6654999999999998,8.2485,6.284999999999999,0.0,13.25,0.0,0.1485,0.0,0.0
"white chocolate cheese cake donut,","Powdered Donuts,Slivered Almonds",Ingredent does not exist in the db
caramel donut,SUCCESS,SUCCESS,http://whiteonricecouple.com/recipes/donuts-burnt-caramel-sea/,1704.583333333333,,6129.049999999997,113.94733333333333,257.57666666666637,859.6210000000001,2.69,252.55399999999997,2976.0416666666665,1.7445,141.2698666666665,620.1666666666658,0.0
very very blueberry,SUCCESS,SUCCESS,http://thebakermama.com/recipes/blueberry-donuts/,1472.5,,4010.2999999999997,57.332499999999996,43.537,866.937,8.875,532.5485,3134.1,0.4585,4.99905,24.0,0.0
"alive by choco,","Chocolate Devil's Food Cake Mix,Graham Cracker",Ingredent does not exist in the db
boston creme,SUCCESS,SUCCESS,https://www.tastemade.com/videos/boston-cream-donuts,1072.22,,2547.4244390243903,25.342170731707316,111.53690243902439,373.9952048780488,5.274390243902439,276.1115902439024,4677.394634146341,3.0305,59.540951219512195,256.0,0.0
mocha donut,SUCCESS,SUCCESS,https://bromabakery.com/2016/05/mocha-crunch-donuts.html,1210.2833333333342,,4593.64366666667,77.03383333333338,170.7976666666667,697.1923333333339,7.93,259.9780000000003,4222.458333333334,3.1324666666666667,38.98084166666667,136.45,0.0
mexican pizza fajita veggies,SUCCESS,SUCCESS,https://www.tarladalal.com/Mexican-Pizza-89r,1012.5,,8367.5,159.32,86.0,1728.54,23.9,810.82,7760.849999999999,0.35200000000000004,0.926,0.0,810.0
crackling spinach,SUCCESS,SUCCESS,https://www.tarladalal.com/Crackling-Spinach-4131r,564.5,,625.03,13.909199999999998,48.354,37.542699999999996,14.612000000000002,14.8515,1254.29,0.616,3.0225799999999996,0.0,0.0
lemon corriander soup,Vegetable Stock,Ingredent does not exist in the db
pan fried noodles with soya braised vegetables,SUCCESS,SUCCESS,https://www.tarladalal.com/Pan--Fried-Noodles-Chinese-Veg-Pan--Fried-Hakka-Noodles-4156r,621.5,,2111.11,17.1369,92.958,300.22889999999995,12.119,142.368,1409.63,1.584,4.490709999999999,0.0,135.0
siu mai vegetables,SUCCESS,SUCCESS,https://www.tarladalal.com/Veg-Sui-Mai-Chinese-Veg-Dumplings-4979r,297.0,,160.32999999999998,5.9172,5.62325,20.363449999999997,8.502500000000001,8.831750000000001,1369.702,0.08800000000000001,0.30745500000000003,0.0,0.0
seasonal vegetable in mahlak sauce,SUCCESS,SUCCESS,https://www.tarladalal.com/Vegetables-In-Hot-Garlic-Sauce-(-Chinese-Cooking-)-321r,1210.0,,6374.460999999999,60.963699999999996,56.17250000000001,1386.1116999999997,34.001999999999995,846.692,1096.3370000000002,0.792,2.2622799999999996,0.0,810.0
vegetable black pepper fried rice,SUCCESS,SUCCESS,https://www.tarladalal.com/Celery-and-Black-Pepper-Rice-4168r,1741.0,,5685.005000000001,114.61455,25.4645,1214.00855,23.7955,10.106,1063.3500000000001,0.264,3.5239700000000003,0.0,0.0
vegetable pan fried noodles,SUCCESS,SUCCESS,https://www.tarladalal.com/Pan--Fried-Noodles-Chinese-Veg-Pan--Fried-Hakka-Noodles-4156r,621.5,,2111.11,17.1369,92.958,300.22889999999995,12.119,142.368,1409.63,1.584,4.490709999999999,0.0,135.0
